,SiO2,TiO2,Al2O3,FeO,MgO,MnO,CaO,Na2O,K2O,P2O5,H2O,CO2,Specific ID,CO2_ppm_melt,VolBubble_VolMelt,Fermi diad separation,Correction Factor,SaturationP_bars_melt_only,Density_liq_VESIcal,Density_CO2_bubble,CO2_ppm_bubble,CO2_ppm_total,SaturationP_bars_melt_plus_bubble
LL8_300R,49.057,2.422,12.138,11.335,10.844,0.178,10.678,2.192,0.445,0.329,0.207507087709118,0.03355469986261699,Fissure 8 (Mid July),37.7587958383725,6.00990645281289,102.608138138138,1.0,50.0,2731.217,0.013533059262059055,297.7882027877974,335.5469986261699,420.0
LL8_232,50.193,2.154,12.106,11.339,10.324,0.157,10.413,2.351,0.37,0.216,0.201440225008384,0.06806858477171428,Fissure 8 (Mid July),22.1585178068357,5.8108148715715,102.661826826827,1.0,30.0,2718.192,0.03080469365322358,658.5273299103071,680.6858477171428,890.0
LL4_B,50.542,2.042,12.855,11.331,9.2,0.113,10.314,2.457,0.441,0.264,0.26316667801806,0.0419203686413268,Fissure 8 (May 30th),112.571444965517,1.65413930199115,102.721885218552,1.0,160.0,2704.037,0.050125459522639915,306.63224144775097,419.203686413268,570.0
LL4_25_A,49.922,2.201,11.943,11.337,11.055,0.145,10.114,2.211,0.435,0.22,0.2419420277632,0.07552691875402576,Fissure 8 (May 30th),39.7310222399763,4.25544521421038,102.708268268268,1.0,50.0,2720.538,0.04574489086709832,715.5381653002813,755.2691875402576,950.0
LL4_25_B,49.46,2.221,11.47,11.336,12.203,0.195,9.751,2.25,0.451,0.254,0.234742966611389,0.1466436569750671,Fissure 8 (May 30th),68.6701309222708,7.56623814972415,102.722806139473,1.0,80.0,2729.374,0.05042171949543928,1397.7664388284002,1466.436569750671,1730.0
LL4_2,51.708,2.111,12.876,11.331,8.14,0.226,9.612,2.837,0.368,0.324,0.292588515622889,0.05333053738301852,Fissure 8 (May 30th),57.1924194389941,3.25259983041464,102.688064731398,1.0,90.0,2681.079,0.03924541936299164,476.1129543911911,533.3053738301852,740.0
LL4_3,49.152,2.356,11.392,11.334,12.524,0.161,9.951,2.177,0.334,0.223,0.221645688414071,0.06868811470877836,Fissure 8 (May 30th),34.897312531381,3.77426188184202,102.713026359693,1.0,40.0,2736.73,0.047275567393185725,651.9838345564026,686.8811470877836,800.0
LL4_12,49.272,1.896,11.32,11.333,13.414,0.132,9.501,2.216,0.313,0.209,0.223234694886881,0.09645063580402123,Fissure 8 (May 30th),37.5369394417516,5.87701954718898,102.70030697364,1.0,50.0,2737.865,0.04318374487056076,926.9694185984607,964.5063580402123,1100.0
LL4_10,48.753,2.509,11.663,11.333,12.174,0.211,9.987,2.196,0.496,0.269,0.23073766840878,0.06981749768237176,Fissure 8 (May 30th),36.7047221865344,5.03887071134983,102.677704371038,1.0,50.0,2735.7,0.035912494669389616,661.4702546371833,698.1749768237177,810.0
LL4_9,50.864,2.199,13.064,11.337,8.68,0.224,10.091,2.455,0.346,0.286,0.283069231790615,0.06449247406993143,Fissure 8 (May 30th),89.4744286163231,2.24104316841761,102.773830497164,1.0,130.0,2696.603,0.06683623943627737,555.4503120829912,644.9247406993143,900.0
LL4_8,49.725,1.848,11.165,11.331,13.306,0.151,9.452,2.177,0.288,0.17,0.2167031250174,0.08477330817438797,Fissure 8 (May 30th),39.6816298280101,4.09580533683782,102.733780447114,1.0,50.0,2734.696,0.05395215083768079,808.0514519158696,847.7330817438797,980.0
LL4_23,50.299,2.2,12.245,11.345,9.967,0.141,10.351,2.403,0.388,0.237,0.248501185960234,0.07577978812132997,Fissure 8 (May 30th),22.3166965579384,4.94546459358179,102.691408074741,1.0,40.0,2711.231,0.0403209718727382,735.4811846553614,757.7978812132998,1000.0
LL4_39c,51.643,2.049,13.469,11.569,6.836,0.183,10.358,2.765,0.363,0.295,0.289745070983748,0.018855339849174552,Fissure 8 (May 30th),111.286894912873,1.3399277779924,102.614160827494,1.0,170.0,2682.848,0.01547055654776841,77.26650357887253,188.55339849174553,280.0
LL4_18b,49.221,1.916,11.389,11.337,13.397,0.189,9.446,2.184,0.324,0.219,0.207091815704257,0.07134589435951615,Fissure 8 (May 30th),39.1850817716859,4.95631012091743,102.681908575242,1.0,50.0,2739.196,0.03726498584938298,674.2738618234756,713.4589435951615,810.0
LL7_115_A,49.279,2.01,11.687,11.336,12.568,0.179,10.003,2.119,0.316,0.143,0.186950797683723,0.03221692329852269,Fissure 8 (Aug 1st),33.814319221253,3.87085042327913,102.629492826159,1.0,40.0,2738.861,0.020402855732086778,288.35491376397385,322.16923298522687,380.0
LL7_115_B,49.762,2.066,11.528,11.331,12.121,0.198,9.773,2.247,0.346,0.265,0.189871691028073,0.045176059467388736,Fissure 8 (Aug 1st),39.2116239976481,4.87659750515831,102.637871204538,1.0,50.0,2730.355,0.023098177441120527,412.54897067623926,451.76059467388734,540.0
LL7_114,49.22,2.121,11.372,11.337,12.629,0.156,9.979,2.162,0.38,0.296,0.174575327974654,0.06498443876388679,Fissure 8 (Aug 1st),26.9399917829054,5.16225741799317,102.668835502169,1.0,30.0,2739.763,0.03305938232283978,622.9043958559625,649.8443876388679,760.0
LL7_111_A,49.561,1.972,11.289,11.331,13.075,0.204,9.436,2.201,0.355,0.224,0.181598629497161,0.0782999554313928,Fissure 8 (Aug 1st),45.5687954264505,5.75880101704899,102.65981314648,1.00014789351852,50.0,2736.462,0.03504116991284434,737.4307588874775,782.999554313928,900.0
LL7_108,49.585,2.282,12.839,11.344,9.906,0.144,10.463,2.348,0.477,0.243,0.1956100684144,0.02759423302062866,Fissure 8 (Aug 1st),16.2723697712877,2.79957058908305,102.644484484484,1.0,20.0,2719.646,0.025225667535266894,259.6699604349989,275.9423302062866,360.0
LL7_203,49.191,1.958,11.521,11.333,12.796,0.156,9.703,2.263,0.393,0.33,0.184010751005299,0.06515617705271022,Fissure 8 (Aug 1st),59.7075070543876,6.67321097327909,102.641558224892,1.0,70.0,2738.076,0.024284290738016523,591.8542634727146,651.5617705271022,750.0
LL7_248,49.357,2.139,11.761,11.33,12.229,0.19,9.825,2.192,0.404,0.218,0.181004663942306,0.04866993079162597,Fissure 8 (Aug 1st),38.4227777034254,4.32569821172432,102.654167500834,1.0,50.0,2734.769,0.028340690872305174,448.2765302128343,486.6993079162597,580.0
LL7_287,50.028,2.525,11.953,11.331,10.29,0.167,10.301,2.328,0.476,0.237,0.188616309727405,0.020812936132637447,Fissure 8 (Aug 1st),42.6167722389668,2.9656940541195,102.613253253253,1.0,50.0,2719.736,0.015178590197763242,165.51258908740766,208.12936132637446,260.0
LL7_290_C,49.598,2.142,11.897,11.334,11.625,0.163,10.205,2.07,0.352,0.256,0.186786941895995,0.02563185244179524,Fissure 8 (Aug 1st),26.7610925505505,4.10368530596377,102.613576910244,1.0,30.0,2732.015,0.015282710550728495,229.5574318674019,256.3185244179524,310.0
LL7_290_B,49.316,2.218,12.237,11.34,11.173,0.169,10.382,2.176,0.405,0.222,0.191057138994473,0.04154089854148616,Fissure 8 (Aug 1st),21.7571025168166,3.22593242940019,102.66965965966,1.0,30.0,2730.906,0.033324513530416766,393.651882898045,415.4089854148616,520.0
LL7_111_B,49.446,1.915,11.52,11.335,13.147,0.135,9.437,2.174,0.307,0.218,0.195789342306091,0.09903557728999762,Fissure 8 (Aug 1st),44.4938345889655,5.0616042430743,102.714664664665,1.00010125,50.0,2737.103,0.05114824124148498,945.8619383110108,990.3557728999763,1150.0
LL4_13,50.101,2.966,13.543,11.341,7.754,0.222,10.32,2.646,0.495,0.164,0.271667428581998,0.15007798259775326,Fissure 8 (May 30th),183.990112470298,3.90156106893729,102.849289289289,1.0,260.0,2699.568,0.09111130930680389,1316.7897135072346,1500.7798259775327,2090.0
LL7_116,49.428,2.457,11.701,11.334,11.498,0.186,10.149,2.166,0.484,0.267,0.15758787388876,0.07390632994687206,Fissure 8 (Aug 1st),40.8951283024498,6.45599865386368,102.657964631298,1.0,50.0,2733.635,0.02956222655721774,698.1681711662708,739.0632994687206,890.0
LL7_282,49.37,1.96,11.364,11.332,13.283,0.153,9.632,2.058,0.298,0.207,0.172332740518631,0.08087753469723184,Fissure 8 (Aug 1st),44.5392096677694,5.4937762978581,102.713957062373,0.999714693925926,50.0,2742.272,0.03814759187656591,764.2361373045491,808.7753469723184,940.0
